FeatureID,Rank,Taxon,A1H0,A1H12,A3H0,A3H12,A4H0,A4H12,A6H0,A6H12,A7H0,A7H12,A8H0,A8H12,A9H0,A9H12,A10H0,A10H12,A12H0,A12H12,A13H0,A13H12,A16H0,A16H12,A17H0,A17H12,A19H0,A19H12,A20H0,A20H12,A22H0,A22H12,A24H0,A24H12,A25H0,A25H12,A26H0,A26H12,A27H0,A27H12,A28H0,A28H12,A30H0,A30H12,P2H0,P2H12,P4H0,P4H12,P5H0,P5H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P20H0,P20H12,P21H0,P21H12,P25H0,P25H12,P26H0,P26H12,P27H0,P27H12,P42H0,P42H12
UNCLASSIFIED,Species,UNCLASSIFIED,9.17887091788709,14.328847973613975,21.426988819490994,16.04632374011882,25.0024487317775,16.332069522654784,21.18185906075606,19.42531,19.68980543410028,16.171568382843162,26.69395583265896,18.315840533000618,18.16783096008654,10.467275467950149,19.26534957292376,8.10736929008386,36.1527640030882,5.889517644192942,36.75741,11.257241125724113,18.400365203792454,12.59467723160889,18.96510433352501,9.360138751023182,17.794130354598238,29.66406,20.689236641667332,13.855789864982745,14.895965098874422,11.8457350761137,14.113572354196045,16.455428098852888,14.649541909768587,16.77270343119254,30.124018985255795,9.593024780173923,14.934343812635984,9.119533671598793,11.593416864646997,31.355305480924507,35.868531128565486,16.950505858449368,16.381038570101992,3.1328206265641256,31.958747190313442,4.2783608556721715,14.67529360508903,25.371011262611503,3.918239169083727,25.25441681133736,12.346732469346493,16.028414808524445,11.389693416908026,14.458504961144817,4.388401423210177,9.873620048846128,8.661520866152086,32.890505882461255,20.544036230080525,11.028628120976652,12.015497596900481,14.16956224535749,18.461777209096496,9.15394361957564,26.10027607783463,11.844028673822212,17.51931314641105,7.140999119660531
Cutibacterium_acnes,Species,Cutibacterium_acnes,0,0,0.0015166072511503617,0,0.0028171694144428156,0,0.012346209501860706,0,0,0,0.04109786023945633,0,0.009808337005561225,0,0.0034343121223007612,0,0.0031346703453475335,0,0,0,0,0,0,0,0.007330955956656748,0,0,0,0,0,0.0036356394301366186,0,0,0,0,0,0.0015100388079973654,0,0.00809989791655374,0,0,0,0.011600075825862343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004009372308708838,0
Staphylococcus_aureus,Species,Staphylococcus_aureus,0,0,0,0,0,0,0,0,0,0,0.100568175165945,0,0,0,0.5156674720779411,0,0,0,0,0,0.0023302332191820377,0,0,0,0,0,0,0,0,0,0,0,0.030098732292096933,0.013698194259806215,0.018892149504224045,0,0,0,0,0,4.308431168954527e-4,0,0,0,0.0032754634730730856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus_mitis,Species,Streptococcus_mitis,0,0,0.03615752386848544,0,0,0,0.053933972390889866,0.0144,0,0,0.10619198754835903,0,0,0.011627586172301967,0.6044689712402893,0,0.26387314459813677,0,0,0,0.8276847777012751,0.02209603045063476,0,0,0,0,0,0,0,0.0034349280913326353,0,0,0,0,0,0,0.0053301369845205025,0,0,0,0.03940711578487943,0,0,0,0,0,0,0,0,0.1799785917775068,0,0,0,0.001930406543618086,0,0.018361325265423712,0,0.008606234356167607,0.016872525991230538,0,0,0.018207787187303277,0,0.02189094131047635,0.083105368606812,0,0.008379588125201471,0.39603158558650625
Streptococcus_sanguinis,Species,Streptococcus_sanguinis,0,0,0.02114210770643385,0.007253558310270802,0,0.009480580211508945,0.3278402787822522,0.006449999999999999,0,0,0.14600897948719438,0,0,0,0.4729938911297024,0,0.002053058852384167,0,0,0,0.12946856118645028,0,0.005317396085398196,0,0,0,0,0,0,0,0,0.01411012699114292,0.006428171769602252,0.007884716637492548,0,0,0.8645722195060414,0,0,0,0.041741684302010605,0.007313567653870875,0,0,0,0,0.020913567854676008,0,0,0,0.002220000444000089,0,0,0,0,0,0,0,0,0,0,0.0029128455588264177,0,0.04635199313570484,0.11511743658640348,0.013770287782001933,0.7230101084294647,0.012642636098684459
Actinomyces_sp_ICM47,Species,Actinomyces_sp_ICM47,0,0,0.03922086964067657,0.004532195107827879,0,0,0.059683432698128924,0,0.01496099191376388,0,0,0,0,0,0,0.028963425641031902,0,0,0,0,0,0.0014029225682942706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07805274140966457,0.0554503231198573,0,0,0,0,0,0.03596642360325554,0,0,0,0,0,0,0.07101847190454237,0,0,0,0,0,0,0,0,0,0,0,0.32243372106636475,0.0018176313879897784
Enterocloster_clostridioformis,Species,Enterocloster_clostridioformis,0,0.003606399917293228,0,0,0.0031780879159372688,0.16799028100519753,5.16381221092571,0,0.06066402202466024,0,0,0,0.3837587691083089,0,32.21846350277408,0.04462482855085954,0,0,0.0075,0,0.030825369610645147,0,0.0012020167396110865,0,0.5110866456985991,0.02274,0.014252621726958445,0.41190759961563533,0.10097331091576744,0,0,0,0.3789402228312163,0,0.15875224726783702,0.026995477022280896,0.008450217170581285,0.00993187037885872,0.15361981964639512,0,0.22519067563314651,0,0.8157485591985197,0,1.708950529483178,0,0,0.10724915469902925,0.015341405153926943,0.9543806031602833,0,0,0,0,0,0,0.005760000576000057,13.99705946987998,0.17782448058784003,0,0.0052799989440002115,0.037056200201977314,0,0,0.001960126624179922,0,0.01417313111128574,0
Ruminococcus_gnavus,Species,Ruminococcus_gnavus,0,0.037857181354030864,1.1827728682779397,0.05520479639241362,0.3149314690957017,0.06719411227967152,1.9649436240199942,5.12768,0.7413291501226531,0.44119995588000444,0.2257330244172525,0.0067319467003418764,6.083444073165745,1.8949654759008494,4.1896104749123,0.5649190066480622,0.123674262283376,0.3913598434560626,1.5835499999999998,0.11288001128800113,2.4261142808644163,0.2568149970017541,0.18421415863666854,0.24542769429579128,8.92150336403867,5.54894,0.34654519471095785,0.6608282086910648,1.0361773062859772,0.4617725050129421,0.037882961133909744,0,23.601168458540506,3.051175213012424,0.0988251049477466,0.15906860461317104,1.7812657785305084,31.049966236656807,1.7020193890533486,0,0.12134746485397273,0.2632079561153749,1.5828648764316686,0.05130001026000205,0,0.10993002198600439,6.130675893307398,3.5458532893974866,21.253785396089615,0.9526969680236599,1.4531502906300582,2.179610653883196,0.06287001886100566,0.03610760426145746,0.38753079676023733,0.1303904248140253,0.7209300720930072,2.2316466048005177,2.453085116579843,1.1740519158585454,4.844779031044194,0.42446465952589085,0.15249268623811327,0.8060146586303212,0.029151883211655474,8.2915145905506,2.0464437669496216,0.22608305080946195
Longicatena_caecimuris,Species,Longicatena_caecimuris,0,0,0.005041965828327692,0,0,0,0,0,0,0,0.03022048646777651,0,0,0,3.4398791122132946,0,0,0,0,0,0,0.1519365141462695,0,0.058126785860753503,0,0,0,0,0,0,0,0,0,0.48969293431330624,0,0,0,0,0,0,0,0,0.11200728953168722,0,0,0,0,0.24644401490106133,0,0,0,0,0,0,0,0.34673386544820844,0,0,0,0,0,0.09141930752151778,0.001692027048403988,0.023821024304045074,0,0,0.8954832817193472,0
Clostridium_symbiosum,Species,Clostridium_symbiosum,0,0.00871546646679197,0,0,0.006125589011475303,0,0.47324110392058727,0,0.10368687443977535,0,0.1709859113493037,0,0,0,3.2991223780578895,0,0,0,0,0,0.0014664398706921446,0,0,0,0.11350480102605379,0.008320000000000001,0.009830783608135297,0,0.22607431932516256,0.0068498274474388405,0,0,0.535449606855429,0,0.5465479788861418,0,0,0,0.40475787591409823,0.007155783954194862,0.015891097288283442,0.012454190860374336,0.10352992609380508,0,8.414034609729028e-4,0,0.01826311568753629,0.044557958051307966,0.19164676595830782,0.5216663297726121,0.0010200002040000409,0,0,0,0,0,0.11453001145300115,0,0.12617451050190756,0,0,0,0.004625541398595517,0,0.0034702241764818006,0.006574912116842493,0.03700650640938257,0
