SampleType,Time,Rank,Taxon,n_samples,mean_RA_percent,sd_RA_percent,median_RA_percent,Q1_RA_percent,Q3_RA_percent,min_RA_percent,max_RA_percent
feces,T0,Species,UNCLASSIFIED,34,18.938414029141878,8.356738384145713,18.284098081939497,14.24756474308918,21.365706379807264,3.918239169083727,36.75741
feces,T0,Species,Bifidobacterium_longum,34,5.569802131527495,10.69626496470661,1.002391110839721,0.03453458394486946,4.746132333067539,0,46.26003223438416
feces,T0,Species,Streptococcus_thermophilus,34,3.3957633629380513,10.78754062428285,0.580832025319731,0.08730351511990482,1.8437963961156367,0,62.518576727421895
feces,T0,Species,Ruminococcus_gnavus,34,2.876023889296708,5.393405534284247,1.1094750872819583,0.16042305433775209,2.3311966523857177,0,23.601168458540506
feces,T0,Species,Ruminococcus_bromii,34,2.63792015686548,6.799834441884846,0,0,0.47669567664890633,0,30.394066078813214
feces,T0,Species,Escherichia_coli,34,2.3610396904506348,6.455347643633308,0.01647500325950081,0,1.4079641800999976,0,35.40438712340817
feces,T0,Species,Dialister_invisus,34,2.093945852912017,4.022397285625817,0,0,2.4853374462461337,0,16.76848327944439
feces,T0,Species,Eubacterium_rectale,34,1.9281278940283144,4.38668758592274,0.0027007024527079494,0,0.9876367216733426,0,19.837228530697434
feces,T0,Species,Blautia_massiliensis,34,1.7497354871217727,5.3649921519342065,0.1333934319118325,0.001160756851574147,0.7877930656815397,0,30.313383031338304
feces,T0,Species,Bifidobacterium_bifidum,34,1.6323371188154137,5.128656440182364,0,0,0.6471354173304849,0,28.708427061878794
feces,T0,Species,Akkermansia_muciniphila,34,1.5811840914889734,4.753252918423,0,0,0,0,22.8813805776247
feces,T0,Species,Dorea_longicatena,34,1.5552860468183096,2.40863698862712,0.41147069633529293,0,1.8192351914187972,0,8.735423913865299
feces,T0,Species,Bifidobacterium_pseudocatenulatum,34,1.4105824832189533,6.107142310314942,0,0,0,0,35.09547052864116
feces,T0,Species,Blautia_wexlerae,34,1.3956401479046894,3.3371015602047653,0.3156488555036484,0.024170754797278083,0.7146928832475015,0,15.169200591961966
feces,T0,Species,Anaerostipes_hadrus,34,1.3559267823400423,2.333998211550152,0.126292138414921,0,1.8327985316110547,0,9.471759482562353
feces,T0,Species,Streptococcus_salivarius,34,1.3401592736181764,2.5643194256965662,0.038339066309968285,0,0.8849155817513017,0,9.10921582444686
feces,T0,Species,Fusicatenibacter_saccharivorans,34,1.313203623911097,2.1230378657423246,0.5389109823717539,0.00839095248486878,1.4582781201363182,0,10.214409324591596
